*Line, ����Ͽ�糧~ĵ����500kV��·����,SZJ
*Parts,18
*Part, Head, 1,     SZJ双回路直线转角塔右�?      S2701S-T0307-01
*Node,56
         1,   1442.857143,   1442.857143,  58690.476190
      81,       9,      43,      0.000000,      0.000000,     -1.000000,  Q345,     L45x4
      82,      43,      38,      0.000000,      0.000000,     -1.000000,  Q345,     L45x4
      83,      11,      44,     -0.000000,     -0.000000,      1.000000,  Q345,     L45x4
      84,      44,      38,     -0.000000,     -0.000000,      1.000000,  Q345,     L45x4
      85,      10,      44,      0.000000,      0.000000,     -1.000000,  Q345,     L45x4
      86,      44,      39,      0.000000,      0.000000,     -1.000000,  Q345,     L45x4
      87,       3,      45,     -0.000000,     -0.000000,      1.000000,  Q345,     L40x4
      88,      45,      39,     -0.000000,     -0.000000,      1.000000,  Q345,     L40x4
      89,      11,      45,      0.000000,      0.000000,     -1.000000,  Q345,     L40x4
      90,      45,      36,      0.000000,      0.000000,     -1.000000,  Q345,     L40x4
      91,      12,      46,     -0.000000,     -0.000000,      1.000000,  Q345,     L40x4
      92,      46,      36,     -0.000000,     -0.000000,      1.000000,  Q345,     L40x4
      93,       3,      46,      0.000000,      0.000000,     -1.000000,  Q345,     L40x4
      94,      46,      40,      0.000000,      0.000000,     -1.000000,  Q345,     L40x4
      95,      13,      47,     -0.000000,     -0.000000,      1.000000,  Q345,     L40x4
      96,      47,      40,     -0.000000,     -0.000000,      1.000000,  Q345,     L40x4
      97,      12,      47,      0.000000,      0.000000,     -1.000000,  Q345,     L40x4
      98,      47,      41,      0.000000,      0.000000,     -1.000000,  Q345,     L40x4
      99,       5,      48,     -0.000000,     -0.000000,      1.000000,  Q345,     L40x4
     100,      48,      41,     -0.000000,     -0.000000,      1.000000,  Q345,     L40x4
     101,      13,      48,      0.000000,      0.000000,     -1.000000,  Q345,     L40x4
     102,      48,      29,      0.000000,      0.000000,     -1.000000,  Q345,     L40x4
     103,       5,      54,     -0.000000,     -0.000000,      1.000000,  Q345,     L70x5
